ID_SAMPLE,site_name,elevation,basin_size,site_type,entity_type,New_lat,New_lon
8567,,,not applicable,,,,
8568,,,not applicable,,,,
8569,,,not applicable,,,,
8570,,,not applicable,,,,
8571,,,not applicable,,,,
8572,,,not applicable,,,,
8573,,,not applicable,,,,
8574,,,not applicable,,,,
8575,,,not applicable,,,,
8576,,,not applicable,,,,
8577,,,not applicable,,,,
8578,,,not applicable,,,,
8579,,,not applicable,,,,
8580,,,not applicable,,,,
8581,,,not applicable,,,,
8582,,,not applicable,,,,
8583,,,not applicable,,,,
8584,,,not applicable,,,,
8585,,,not applicable,,,,
8586,,,not applicable,,,,
8588,,,not applicable,,,,
8589,,,not applicable,,,,
8590,,,not applicable,,,,
8591,,,not applicable,,,,
8592,,,not applicable,,,,
8593,,,not applicable,,,,
8594,,,not applicable,,,,
8595,,,not applicable,,,,
8596,,,not applicable,,,,
8597,,,not applicable,,,,
8598,,,not applicable,,,,
8599,,,not applicable,,,,
8600,,,not applicable,,,,
8601,,,not applicable,,,,
8602,,,not applicable,,,,
8603,,,not applicable,,,,
8604,,,not applicable,,,,
8605,,,not applicable,,,,
8606,,,not applicable,,,,
8607,,,not applicable,,,,
8608,,,not applicable,,,,
8609,,,not applicable,,,,
8610,,,not applicable,,,,
8611,,,not applicable,,,,
8612,,,not applicable,,,,
8613,,,not applicable,,,,
8614,,,not applicable,,,,
8615,,,not applicable,,,,
8616,,,not applicable,,,,
8617,,,not applicable,,,,
8618,,,not applicable,,,,
8619,,,not applicable,,,,
8620,,,not applicable,,,,
8621,,,not applicable,,,,
8622,,,not applicable,,,,
8623,,,not applicable,,,,
8624,,,not applicable,,,,
8625,,,not applicable,,,,
8626,,,not applicable,,,,
8627,,,not applicable,,,,
8628,,,not applicable,,,,
8629,,,not applicable,,,,
8630,,,not applicable,,,,
8631,,,not applicable,,,,
8632,,,not applicable,,,,
8633,,,not applicable,,,,
8634,,,not applicable,,,,
8635,,,not applicable,,,,
8636,,,not applicable,,,,
8637,,,not applicable,,,,
8638,,,not applicable,,,,
8639,,,not applicable,,,,
8640,,,not applicable,,,,
8641,,,not applicable,,,,
8642,,,not applicable,,,,
8643,,,not applicable,,,,
8644,,,not applicable,,,,
8645,,,not applicable,,,,
8646,,,not applicable,,,,
8647,,,not applicable,,,,
8648,,,not applicable,,,,
8649,,,not applicable,,,,
8650,,,not applicable,,,,
8651,,,not applicable,,,,
8652,,,not applicable,,,,
8653,,,not applicable,,,,
8654,,,not applicable,,,,
8655,,,not applicable,,,,
8656,,,not applicable,,,,
8657,,,not applicable,,,,
8658,,,not applicable,,,,
8659,,,not applicable,,,,
8660,,,not applicable,,,,
8662,,,not applicable,,,,
8663,,,not applicable,,,,
8664,,,not applicable,,,,
8665,,,not applicable,,,,
8666,,,not applicable,,,,
8667,,,not applicable,,,,
8668,,,not applicable,,,,
8669,,,not applicable,,,,
8670,,,not applicable,,,,
8671,,,not applicable,,,,
8672,,,not applicable,,,,
8673,,,not applicable,,,,
8674,,,not applicable,,,,
8675,,,not applicable,,,,
8676,,,not applicable,,,,
8677,,,not applicable,,,,
8678,,,not applicable,,,,
8679,,,not applicable,,,,
8680,,,not applicable,,,,
8681,,,not applicable,,,,
8682,,,not applicable,,,,
8683,,,not applicable,,,,
8684,,,not applicable,,,,
8685,,,not applicable,,,,
8686,,,not applicable,,,,
8687,,,not applicable,,,,
8688,,,not applicable,,,,
8689,,,not applicable,,,,
8690,,,not applicable,,,,
8691,,,not applicable,,,,
8692,,,not applicable,,,,
8693,,,not applicable,,,,
8694,,,not applicable,,,,
8695,,,not applicable,,,,
8696,,,not applicable,,,,
8697,,,not applicable,,,,
