entity_name,longitude,latitude,bin_centre,number_samples,tree_cover
AE3,7.543333,46.645833,4800,1,76.8774127827783
AE3,7.543333,46.645833,5000,1,77.8903256414092
AE3,7.543333,46.645833,5200,1,76.9581093926013
AE3,7.543333,46.645833,5400,1,75.8215349236693
AE3,7.543333,46.645833,5600,1,76.6161092065998
AE3,7.543333,46.645833,5800,1,76.3170728928732
AE3,7.543333,46.645833,6000,1,74.2869031979249
AE3,7.543333,46.645833,6200,7,66.0980524143873
AE3,7.543333,46.645833,6400,1,65.1589483056959
AE3,7.543333,46.645833,6600,2,65.4293996865386
AE3,7.543333,46.645833,6800,2,68.1917296620393
AE3,7.543333,46.645833,7000,3,63.8311513948834
AE3,7.543333,46.645833,7200,4,71.5117491996831
AE3,7.543333,46.645833,7400,1,75.8692176051891
AE3,7.543333,46.645833,7600,2,75.1580279157734
AE3,7.543333,46.645833,7800,1,61.7913836438685
AE3,7.543333,46.645833,8000,2,67.7235862868211
AE3,7.543333,46.645833,8200,2,61.4711381771549
AE3,7.543333,46.645833,8400,3,56.8679262841453
AE3,7.543333,46.645833,8600,4,65.1656734053151
AE3,7.543333,46.645833,8800,5,56.8721415634462
AE3,7.543333,46.645833,9000,4,58.6694222758681
AE3,7.543333,46.645833,9200,6,41.5931587683015
AE3,7.543333,46.645833,9400,4,42.982427668752
AE3,7.543333,46.645833,9600,13,20.0695509514839
AE3,7.543333,46.645833,9800,5,24.8817032485727
AF1974,-3.710556,57.235278,6600,2,54.405702766788
AF1974,-3.710556,57.235278,7200,1,63.009083090632
AF1974,-3.710556,57.235278,7400,1,65.042451896894
AF1974,-3.710556,57.235278,7600,1,57.1393206630055
AF1974,-3.710556,57.235278,7800,2,56.9330980001096
AF1974,-3.710556,57.235278,8000,2,53.9356744012619
AF1974,-3.710556,57.235278,8200,1,31.5664737986161
AF1974,-3.710556,57.235278,9600,1,17.788630236488
AF1974,-3.710556,57.235278,10000,1,19.7179239508729
AF1974,-3.710556,57.235278,10200,2,18.9914700729507
AF1974,-3.710556,57.235278,10400,1,32.5068068831662
AF1974,-3.710556,57.235278,10600,1,17.2905759385014
AF1974,-3.710556,57.235278,10800,1,38.0855500445087
AF1974,-3.710556,57.235278,11000,1,9.68683844295376
AF1974,-3.710556,57.235278,11200,1,7.96022713177407
AF1974,-3.710556,57.235278,11400,1,5.47678969477433
AF1974,-3.710556,57.235278,11600,1,4.39556256683985
AF1974,-3.710556,57.235278,11800,1,4.59243253508581
AF1974,-3.710556,57.235278,12200,1,0
AF1974,-3.710556,57.235278,12600,1,4.06877381613566
AF1974,-3.710556,57.235278,12800,1,3.53441020187037
AF1974,-3.710556,57.235278,13000,2,6.06715399782474
AF1974,-3.710556,57.235278,13200,1,0
AF1974,-3.710556,57.235278,13400,2,0
AF1974,-3.710556,57.235278,13600,2,7.57498916241984
AF1974,-3.710556,57.235278,13800,2,14.0136021714988
AFF1,-5.024025,57.248931,200,1,6.39012683606502
AFF1,-5.024025,57.248931,400,1,7.40744584572912
AFF1,-5.024025,57.248931,4400,1,15.6976378662808
AFF1,-5.024025,57.248931,7000,1,16.3571578707509
AFF1,-5.024025,57.248931,7600,1,45.0287348627512
AFF1,-5.024025,57.248931,7800,1,48.2637762809717
AFF1,-5.024025,57.248931,8000,1,29.160522135982
AFF1,-5.024025,57.248931,8200,2,13.910702928815
AFF1,-5.024025,57.248931,8600,1,8.01874793413197
AFF3,-4.825361,57.322278,1600,1,49.4801490390582
AFF3,-4.825361,57.322278,5200,1,59.5160435704987
AFF3,-4.825361,57.322278,5600,1,57.5170417847511
AFF3,-4.825361,57.322278,6000,1,46.9725587759225
AFF3,-4.825361,57.322278,6600,1,41.9725718701859
AFF3,-4.825361,57.322278,7200,1,34.1286933753806
AFF4,-4.882153,57.292122,200,1,9.37012391617597
AFF4,-4.882153,57.292122,400,1,7.65807802256936
AFF4,-4.882153,57.292122,5200,1,68.2882911694173
AFF4,-4.882153,57.292122,6200,2,69.5041074568929
AFF4,-4.882153,57.292122,6600,1,72.0523447540356
AFF4,-4.882153,57.292122,6800,1,50.4364784310887
AFF4,-4.882153,57.292122,7000,1,37.0119795152641
AFF4,-4.882153,57.292122,7400,1,41.1833003614292
AFF4,-4.882153,57.292122,8200,1,35.3665123732734
AFF4,-4.882153,57.292122,8600,1,29.3237137560777
AFF4,-4.882153,57.292122,10200,1,35.1429640092295
AFF5,-4.914,57.270928,5200,1,59.1966960454339
AFF5,-4.914,57.270928,6400,1,75.3745353500432
AFF5,-4.914,57.270928,6800,1,71.4615623980329
AFF5,-4.914,57.270928,7400,1,63.8517710199271
AFF5,-4.914,57.270928,7600,1,30.6040321168318
AFF5,-4.914,57.270928,7800,1,24.218401937306
AFF5,-4.914,57.270928,8000,1,24.1702996290656
AFF5,-4.914,57.270928,8200,1,37.4012848687074
AFF5,-4.914,57.270928,8400,1,11.0958489477378
AFF5,-4.914,57.270928,9200,1,8.04116526077005
AFF6,-4.990194,57.263069,5400,1,52.0127410286311
AFF6,-4.990194,57.263069,6200,1,42.0718284639004
AFF6,-4.990194,57.263069,6400,1,45.4446580967008
AFF6,-4.990194,57.263069,7200,1,64.7227920340316
AFF6,-4.990194,57.263069,7400,1,67.9873617203176
AFF6,-4.990194,57.263069,7600,1,48.6325349326605
AFF6,-4.990194,57.263069,7800,1,49.3852784742577
AFF6,-4.990194,57.263069,8000,1,40.1609440696067
AFF6,-4.990194,57.263069,8400,2,32.6483112497884
AFF6,-4.990194,57.263069,8600,1,28.3557209070937
AFF6,-4.990194,57.263069,9000,2,17.3958790454339
AFF6,-4.990194,57.263069,9200,1,4.42124005524581
AFF6,-4.990194,57.263069,9400,2,13.8557660437812
AFF6,-4.990194,57.263069,9800,1,24.1441895333642
AFF7,-5.021139,57.254111,5200,1,17.2435502904618
AFF7,-5.021139,57.254111,6400,1,44.459053349816
AFF7,-5.021139,57.254111,7000,1,35.2761740610115
AFF7,-5.021139,57.254111,7800,1,54.3845675309352
AFF7,-5.021139,57.254111,8000,1,42.7710787607945
AFF7,-5.021139,57.254111,8200,3,31.371527576825
AFF7,-5.021139,57.254111,8400,2,6.99860223169997
AFF7,-5.021139,57.254111,8600,2,22.3320751437115
AFF7,-5.021139,57.254111,8800,1,17.4826186795625
AFF7,-5.021139,57.254111,9200,1,29.8258704610702
AFF7,-5.021139,57.254111,9800,1,29.2166057699071
AFF7,-5.021139,57.254111,10400,1,12.5763669120757
AFF7,-5.021139,57.254111,11200,1,6.05828283824805
AFF7,-5.021139,57.254111,11800,1,24.3501650068274
AFF7,-5.021139,57.254111,12400,1,12.0118186069509
AFF7,-5.021139,57.254111,13000,1,0
AFF8,-4.942806,57.277889,1000,1,8.13782075394861
AFF8,-4.942806,57.277889,1200,1,29.3770459381505
AFF8,-4.942806,57.277889,2800,1,41.9688372143881
AFF8,-4.942806,57.277889,7600,1,34.4139244956871
AFF8,-4.942806,57.277889,8200,1,21.7143303628799
AFF8,-4.942806,57.277889,8600,1,5.1922267913718
AFF8,-4.942806,57.277889,9000,1,19.0224602378463
AFF8,-4.942806,57.277889,9400,1,15.8093763566281
AFF8,-4.942806,57.277889,11400,1,7.6189974005662
AGE,13.42774,55.934475,0,2,27.6081583664728
AGE,13.42774,55.934475,200,3,45.5025430629259
AGE,13.42774,55.934475,400,3,59.197735503017
AGE,13.42774,55.934475,600,3,68.6489091150978
AGE,13.42774,55.934475,800,3,72.208627044535
AGE,13.42774,55.934475,1000,5,61.0885700629557
AGE,13.42774,55.934475,1200,4,55.4649259274761
AGE,13.42774,55.934475,1400,5,61.8197389916566
AGE,13.42774,55.934475,1600,2,30.66642359458
AGE,13.42774,55.934475,1800,2,69.2904038604473
AGE,13.42774,55.934475,2000,1,57.6453502899972
AGE,13.42774,55.934475,2200,2,46.4843494237923
AGE,13.42774,55.934475,2400,1,45.3360978394291
AGE,13.42774,55.934475,2600,2,64.9614437816119
AGE,13.42774,55.934475,2800,1,71.8021863645691
AGE,13.42774,55.934475,3000,2,48.4971403745291
AGE,13.42774,55.934475,3200,2,69.1155737547395
AGE,13.42774,55.934475,3400,1,42.2743583919912
AGE,13.42774,55.934475,3600,2,66.9376634322469
AGE,13.42774,55.934475,3800,2,73.8071267437082
AGE,13.42774,55.934475,4000,2,64.2731537261276
AGE,13.42774,55.934475,4200,2,53.5181321338857
AGE,13.42774,55.934475,4400,1,64.3843930330182
AGE,13.42774,55.934475,4600,2,24.52146657755
AGE,13.42774,55.934475,4800,2,29.7703631830489
AGE,13.42774,55.934475,5000,2,46.2464605913161
AGE,13.42774,55.934475,5200,2,67.1778827063055
AGE,13.42774,55.934475,5400,2,47.1536721892813
AGE,13.42774,55.934475,5600,2,41.9698163043874
AGE,13.42774,55.934475,5800,2,37.2666803275019
AGE,13.42774,55.934475,6000,2,67.8518544819034
AGE,13.42774,55.934475,6200,2,49.806040677025
AGE,13.42774,55.934475,6400,2,60.3171553041842
AGE,13.42774,55.934475,6600,2,51.2159602909307
AGE,13.42774,55.934475,6800,2,70.3792478230992
AGE,13.42774,55.934475,7000,2,72.6209853018826
AGE,13.42774,55.934475,7200,2,72.5030301359088
AGE,13.42774,55.934475,7400,2,62.9509189990976
AGE,13.42774,55.934475,7600,2,64.5772491525993
AGE,13.42774,55.934475,8000,5,56.9446026755894
AGE,13.42774,55.934475,8200,4,79.8393184406421
AGE,13.42774,55.934475,8400,3,79.8726950213969
AGE,13.42774,55.934475,8600,3,78.668513774938
AGE,13.42774,55.934475,8800,4,77.4203119037395
AGE,13.42774,55.934475,9000,3,79.7799793297356
AGE,13.42774,55.934475,9200,4,80.2695021697387
AGE,13.42774,55.934475,9400,3,78.0115337085674
AGE,13.42774,55.934475,9600,3,72.313343667376
AGE,13.42774,55.934475,9800,4,70.5311290688968
AGE,13.42774,55.934475,10000,2,51.8854274276351
AGE,13.42774,55.934475,10200,3,36.2178305102504
AGE,13.42774,55.934475,10400,1,18.7859633191165
AGE,13.42774,55.934475,10600,1,11.4304485677349
AGE,13.42774,55.934475,10800,1,31.6871646208586
AHL5,8.755515,53.70273,1200,7,42.5998738936145
AHL5,8.755515,53.70273,1400,5,72.8152787889004
AHL5,8.755515,53.70273,1600,6,60.2911490056899
AHL5,8.755515,53.70273,1800,6,36.9071449950672
AHL5,8.755515,53.70273,2000,8,33.1065680013122
AHL5,8.755515,53.70273,2200,4,26.6925241578946
AHL5,8.755515,53.70273,2400,4,52.2552232710757
AHL5,8.755515,53.70273,2600,5,38.0697999038202
AHL5,8.755515,53.70273,2800,4,74.6810986850056
AHL5,8.755515,53.70273,3000,1,74.3852579131295
AHLBECKE,14.220833,53.655556,1000,4,78.7660485138613
AHLBECKE,14.220833,53.655556,1200,4,78.8103224930602
AHLBECKE,14.220833,53.655556,1400,6,80.6477386070849
AHLBECKE,14.220833,53.655556,1600,5,80.0443232947215
AHLBECKE,14.220833,53.655556,1800,4,80.8119203375834
AHLBECKE,14.220833,53.655556,2000,4,78.4373556601366
AHLBECKE,14.220833,53.655556,2200,4,79.4720441482486
AHLBECKE,14.220833,53.655556,2400,4,79.2507649446222
AHLBECKE,14.220833,53.655556,2600,5,80.2385496356719
AHLBECKE,14.220833,53.655556,2800,6,80.2561940642809
AHLBECKE,14.220833,53.655556,3000,6,80.0953229612675
AHLBECKE,14.220833,53.655556,3200,7,80.4095754106245
AHLBECKE,14.220833,53.655556,3400,5,81.0966314714689
AHLBECKE,14.220833,53.655556,3600,6,82.2433273121479
AHLBECKE,14.220833,53.655556,3800,5,81.5967914628623
AHLBECKE,14.220833,53.655556,4000,4,81.0364322541574
AHLBECKE,14.220833,53.655556,4200,2,81.2119948030241
AHLBECKE,14.220833,53.655556,4400,2,81.5555261893429
AHLBECKE,14.220833,53.655556,4600,2,79.6657949209574
AHLBECKE,14.220833,53.655556,4800,3,79.7224849524986
AHLBECKE,14.220833,53.655556,5000,2,80.5771880049562
AHLBECKE,14.220833,53.655556,5200,2,80.6570917104327
AHLBECKE,14.220833,53.655556,5400,2,81.1517873545869
AHLBECKE,14.220833,53.655556,5600,2,81.0974546652107
AHLBECKE,14.220833,53.655556,5800,4,80.8811775682143
AHLBECKE,14.220833,53.655556,6000,5,81.7420574189503
AHLBECKE,14.220833,53.655556,6200,5,81.500557483186
AHLBECKE,14.220833,53.655556,6400,5,81.0895200415245
AHLBECKE,14.220833,53.655556,6600,4,81.5843641396371
AHLBECKE,14.220833,53.655556,6800,4,82.4506966713377
AHLBECKE,14.220833,53.655556,7000,4,82.0367417715717
AHLBECKE,14.220833,53.655556,7200,4,81.1311516026345
AHLBECKE,14.220833,53.655556,7400,5,81.2112199903247
AHLBECKE,14.220833,53.655556,7600,4,81.8299963118435
AHLBECKE,14.220833,53.655556,7800,4,80.6378207742826
AHLBECKE,14.220833,53.655556,8000,4,78.0582451810681
AHLBECKE,14.220833,53.655556,8200,4,76.0943136807522
AHLBECKE,14.220833,53.655556,8400,4,75.9726153702222
AHLBECKE,14.220833,53.655556,8600,3,41.1937734303472
AHLBECKE,14.220833,53.655556,8800,3,50.4451515490946
AHLBECKE,14.220833,53.655556,9000,4,52.249112775635
AHLBECKE,14.220833,53.655556,9200,3,51.7675386078638
AHLBECKE,14.220833,53.655556,9400,1,42.2513348430329
AHLEQUEL,9.508755,51.73045,0,4,50.7259319143908
AHLEQUEL,9.508755,51.73045,200,5,56.9685462241958
AHLEQUEL,9.508755,51.73045,400,5,69.292786398793
AHLEQUEL,9.508755,51.73045,600,6,71.5280819282209
AHLEQUEL,9.508755,51.73045,800,13,67.9512104722376
AHLEQUEL,9.508755,51.73045,1000,4,59.8239223222735
AHLEQUEL,9.508755,51.73045,1200,1,57.8199566124091
AHLEQUEL,9.508755,51.73045,1400,2,68.0214079644683
AHLEQUEL,9.508755,51.73045,1600,1,66.9515784668827
AHLEQUEL,9.508755,51.73045,2000,1,65.4633769528514
AHLEQUEL,9.508755,51.73045,2400,1,70.5051805289117
AHLEQUEL,9.508755,51.73045,3200,1,72.095112530783
AHLEQUEL,9.508755,51.73045,3600,1,68.3109611834385
AHLEQUEL,9.508755,51.73045,3800,1,70.7994371381808
AHLEQUEL,9.508755,51.73045,4000,1,61.0667152198838
AHLEQUEL,9.508755,51.73045,4400,1,52.7516653118115
AHLEQUEL,9.508755,51.73045,4600,1,44.6975609968858
AHLEQUEL,9.508755,51.73045,4800,1,45.2272515380477
AHLEQUEL,9.508755,51.73045,6800,1,52.4254919603609
AHLEQUEL,9.508755,51.73045,7000,2,57.3102248740494
AHLEQUEL,9.508755,51.73045,7200,1,55.7255981504123
AHLEQUEL,9.508755,51.73045,7400,1,71.1981129732874
AHOLAMMI,25.21692,61.8947,3000,1,74.9083614831227
AHOLAMMI,25.21692,61.8947,3200,3,78.8754047872615
AHOLAMMI,25.21692,61.8947,3400,3,80.5218101993903
AHOLAMMI,25.21692,61.8947,3600,4,79.6965526787737
AHOLAMMI,25.21692,61.8947,3800,2,77.6696749294216
AHOLAMMI,25.21692,61.8947,4000,1,76.1008404757216
AHOLAMMI,25.21692,61.8947,4200,1,73.9798771337648
AHOLAMMI,25.21692,61.8947,4400,1,75.3657788592436
AHOLAMMI,25.21692,61.8947,4600,1,76.4270592555032
AHOLAMMI,25.21692,61.8947,4800,1,75.342116306878
AHOLAMMI,25.21692,61.8947,5000,1,74.3297178939367
AHOLAMMI,25.21692,61.8947,5200,1,73.6068751695299
AHOLAMMI,25.21692,61.8947,5400,1,74.4325980710646
AHOLAMMI,25.21692,61.8947,5600,1,74.415392741954
AHOLAMMI,25.21692,61.8947,5800,1,76.1647834911696
AHOLAMMI,25.21692,61.8947,6200,1,73.3570386163145
AHOLAMMI,25.21692,61.8947,6400,1,74.7836312869576
AHOLAMMI,25.21692,61.8947,6800,1,73.3411773991367
AHOLAMMI,25.21692,61.8947,7000,1,65.9017369517742
AHOLAMMI,25.21692,61.8947,7200,1,70.9032240787346
AHOLAMMI,25.21692,61.8947,7400,1,70.6302183439018
AHOLAMMI,25.21692,61.8947,7600,1,74.3917354221518
AHOLAMMI,25.21692,61.8947,7800,2,70.4596955487965
AHOLAMMI,25.21692,61.8947,8000,1,72.3024026913776
AHOLAMMI,25.21692,61.8947,8200,2,73.6807509355982
AHOLAMMI,25.21692,61.8947,8600,1,71.6224886885115
