taxon_name,clean_taxon_name,terrestrial_pollen_sum,ap_sp_hp,ap_needle_broad,europe,pollination
Ledum,Ledum,yes,SP,not_native_tree,native,not_native_tree
Ligustrum,Ligustrum,yes,SP,not_native_tree,native,not_native_tree
Liliaceae,Liliaceae,yes,HP,not_native_tree,native,not_native_tree
Linaceae,Linaceae,yes,HP,not_native_tree,native,not_native_tree
Linnaea,Linnaea,yes,SP,not_native_tree,native,not_native_tree
Linum,Linum,yes,HP,not_native_tree,native,not_native_tree
Lonicera,Lonicera,yes,SP,not_native_tree,native,not_native_tree
Loranthaceae,Loranthaceae,no,HP,not_native_tree,native,not_native_tree
Lycopodiella,Lycopodiella,no,HP,not_native_tree,native,not_native_tree
Lycopodium,Lycopodium,no,HP,not_native_tree,native,not_native_tree
Lysimachia,Lysimachia,yes,HP,not_native_tree,native,not_native_tree
Lythraceae,Lythraceae,yes,HP,not_native_tree,native,not_native_tree
Magnolia,Magnolia,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Magnoliaceae,Magnoliaceae,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Malus,Malus,yes,AP,broad,native,biotic
Malus/Pyrus,Malus/Pyrus,yes,AP,broad,native,biotic
Malva,Malva,yes,HP,not_native_tree,native,not_native_tree
Malvaceae,Malvaceae,yes,SP,not_native_tree,native,not_native_tree
Melanthiaceae,Melanthiaceae,yes,HP,not_native_tree,native,not_native_tree
Mercurialis,Mercurialis,yes,HP,not_native_tree,native,not_native_tree
Moltkia,Moltkia,yes,SP,not_native_tree,native,not_native_tree
Montiaceae,Montiaceae,yes,SP,not_native_tree,native,not_native_tree
Moraceae,Moraceae,yes,AP,broad,native,dual
Morus,Morus,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Myrica,Myrica,yes,SP,not_native_tree,native,not_native_tree
Myricaria,Myricaria,yes,SP,not_native_tree,native,not_native_tree
Myrtaceae,Myrtaceae,yes,AP,broad,native,dual
Nartheciaceae,Nartheciaceae,yes,HP,not_native_tree,native,not_native_tree
Nerium,Nerium,yes,SP,not_native_tree,native,not_native_tree
Nigella,Nigella,yes,HP,not_native_tree,native,not_native_tree
Nitrariaceae,Nitrariaceae,yes,SP,not_native_tree,native,not_native_tree
Olea,Olea,yes,AP,broad,native,wind
Oleaceae,Oleaceae,yes,AP,broad,native,dual
Onagraceae,Onagraceae,yes,HP,not_native_tree,native,not_native_tree
Ononis,Ononis,yes,SP,not_native_tree,native,not_native_tree
Ophioglossaceae,Ophioglossaceae,no,HP,not_native_tree,native,not_native_tree
Orchidaceae,Orchidaceae,yes,HP,not_native_tree,native,not_native_tree
Orobanchaceae,Orobanchaceae,no,HP,not_native_tree,native,not_native_tree
Osmundaceae,Osmundaceae,no,HP,not_native_tree,native,not_native_tree
Oxalidaceae,Oxalidaceae,yes,HP,not_native_tree,native,not_native_tree
Oxyria/Rumex,Oxyria/Rumex,yes,HP,not_native_tree,native,not_native_tree
Paeonia,Paeonia,yes,SP,not_native_tree,native,not_native_tree
Paliurus,Paliurus,yes,SP,not_native_tree,native,not_native_tree
Papaveraceae,Papaveraceae,yes,HP,not_native_tree,native,not_native_tree
Parrotia,Parrotia,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Periploca,Periploca,yes,SP,not_native_tree,native,not_native_tree
Phillyrea,Phillyrea,yes,SP,not_native_tree,native,not_native_tree
Phlomis,Phlomis,yes,SP,not_native_tree,native,not_native_tree
Phyllanthaceae,Phyllanthaceae,yes,HP,not_native_tree,native,not_native_tree
Picea,Picea,yes,AP,needle,native,wind
Pinus,Pinus,yes,AP,needle,native,wind
Pinus (diploxylon),Pinus (diploxylon),yes,AP,needle,native,wind
Pinus (haploxylon),Pinus (haploxylon),yes,AP,needle,native,wind
Pistacia,Pistacia,yes,AP,broad,native,wind
Plantaginaceae,Plantaginaceae,yes,HP,not_native_tree,native,not_native_tree
Platanus,Platanus,yes,AP,broad,native,wind
Plumbaginaceae,Plumbaginaceae,yes,HP,not_native_tree,native,not_native_tree
Poaceae,Poaceae,yes,HP,not_native_tree,native,not_native_tree
Polemoniaceae,Polemoniaceae,yes,HP,not_native_tree,native,not_native_tree
Polygalaceae,Polygalaceae,yes,HP,not_native_tree,native,not_native_tree
Polygonaceae,Polygonaceae,yes,HP,not_native_tree,native,not_native_tree
Polygonum,Polygonum,yes,HP,not_native_tree,native,not_native_tree
Polypodiales,Polypodiales,yes,HP,not_native_tree,native,not_native_tree
Populus,Populus,yes,AP,broad,native,wind
